system   D            wsystem.c:583  maybe_parent_dir                 [   0.00068] Also searching C:\Users\WiLL\git\AllegroPlayground2\AllegroPlayground\
display  D   display_settings.c:191  debug_display_settings           [   0.09884] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09885] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09886] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09888] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09889] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09890] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09891] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09892] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09893] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09895] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09896] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09897] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09898] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09899] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09900] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09901] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09902] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09904] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09905] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09906] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09907] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09908] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09909] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09911] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09912] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09913] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09914] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09915] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09916] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09917] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09918] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09920] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09921] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09922] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09923] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09924] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09925] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09929] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09930] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09931] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09932] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09934] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09935] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09936] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09937] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09938] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09939] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09940] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1640 d3d_create_display_internals     [   0.09942] Trying format 0.
d3d      I         d3d_disp.cpp:1325 d3d_display_thread_proc          [   0.09962] Chose a display format: 23
d3d      I         d3d_disp.cpp:1394 d3d_display_thread_proc          [   0.09965] Normal window.
d3d      I         d3d_disp.cpp:800  d3d_create_device                [   0.10402] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:865  d3d_create_device                [   0.15077] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:873  d3d_create_device                [   0.15081] Success
d3d      D         d3d_disp.cpp:1663 d3d_create_display_internals     [   0.15084] Resumed after wait.
d3d      I         d3d_disp.cpp:1696 d3d_create_display_internals     [   0.15087] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1719 d3d_create_display_internals     [   0.15090] Returning d3d_display: 00538BD0
d3d      D         d3d_disp.cpp:1744 d3d_create_display_locked        [   0.15092] al_display=00538BD0
d3d      D         d3d_disp.cpp:1745 d3d_create_display_locked        [   0.15093] al_display->vt=00538B18
font     D                ttf.c:786  al_load_ttf_font_stretch_f       [   0.15234] Font Resources//fonts//cactus.ttf loaded with pixel size 0 x 24.
font     D                ttf.c:788  al_load_ttf_font_stretch_f       [   0.15236]     ascent=24.0, descent=-5.0, height=27.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.15239] added dtor for object 005549F0, func 74C81069
font     D                ttf.c:786  al_load_ttf_font_stretch_f       [   0.15266] Font Resources//fonts//cactus.ttf loaded with pixel size 0 x 36.
font     D                ttf.c:788  al_load_ttf_font_stretch_f       [   0.15268]     ascent=35.0, descent=-7.0, height=41.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.15270] added dtor for object 00554E18, func 74C81069
font     D                ttf.c:786  al_load_ttf_font_stretch_f       [   0.15309] Font Resources//fonts//arial.ttf loaded with pixel size 0 x 18.
font     D                ttf.c:788  al_load_ttf_font_stretch_f       [   0.15310]     ascent=16.0, descent=-4.0, height=21.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.15312] added dtor for object 00555010, func 74C81069
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15327] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15329] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15330] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15331] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15332] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15333] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15334] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15334] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15335] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.15336] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.15337] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.15338] Found a format
d3d      I         d3d_disp.cpp:2289 _al_d3d_create_bitmap            [   0.15339] Chose bitmap format 9
font     D                ttf.c:216  alloc_glyph_region               [   0.15528] glyph 19x26 (20x28)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.16300] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.16304] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   0.16543] glyph 16x26 (16x28)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.16631] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.16633] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   0.16670] glyph 18x26 (20x28)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.16730] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.16732] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   0.16771] glyph 15x26 (16x28)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.16964] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.16966] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   0.16994] glyph 26x26 (28x28)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.17038] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.17040] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   0.17066] glyph 20x26 (20x28)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.17110] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.17112] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   0.17136] glyph 16x27 (16x28)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.17181] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.17183] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   0.17209] glyph 17x26 (20x28)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.17253] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.17255] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   0.17280] glyph 19x26 (20x28)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.17605] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.17608] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   0.17639] glyph 11x27 (12x28)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.17691] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.17694] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   0.17722] glyph 14x26 (16x28)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.17775] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.17778] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   0.17812] glyph 14x27 (16x28)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.17863] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.17865] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   0.17894] glyph 18x27 (20x28)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.17943] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.17945] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.17975] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.17976] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.17977] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.17978] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.17979] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.17980] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.17981] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.17982] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.17983] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.17984] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.17985] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.17986] Found a format
d3d      I         d3d_disp.cpp:2289 _al_d3d_create_bitmap            [   0.17988] Chose bitmap format 9
font     D                ttf.c:216  alloc_glyph_region               [   0.18023] glyph 24x37 (24x40)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.18122] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.18124] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   0.18145] glyph 27x37 (28x40)
font     D                ttf.c:216  alloc_glyph_region               [   0.18153] glyph 15x39 (16x40)
font     D                ttf.c:216  alloc_glyph_region               [   0.18162] glyph 20x37 (20x40)
font     D                ttf.c:216  alloc_glyph_region               [   0.18173] glyph 20x38 (20x40)
font     D                ttf.c:216  alloc_glyph_region               [   0.18184] glyph 23x38 (24x40)
font     D                ttf.c:216  alloc_glyph_region               [   0.18195] glyph 25x38 (28x40)
font     D                ttf.c:216  alloc_glyph_region               [   0.18205] glyph 24x37 (24x40)
font     D                ttf.c:216  alloc_glyph_region               [   0.18217] glyph 28x37 (28x40)
font     D                ttf.c:216  alloc_glyph_region               [   0.18229] glyph 22x38 (24x40)
font     D                ttf.c:216  alloc_glyph_region               [   0.18241] glyph 27x38 (28x40)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.18305] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.18306] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   0.18320] glyph 20x38 (20x40)
font     D                ttf.c:216  alloc_glyph_region               [   0.18330] glyph 22x37 (24x40)
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.18378] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.18380] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.18381] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.18382] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.18383] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.18384] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.18384] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.18385] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.18386] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.18387] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.18389] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.18391] Found a format
d3d      I         d3d_disp.cpp:2289 _al_d3d_create_bitmap            [   0.18392] Chose bitmap format 9
font     D                ttf.c:216  alloc_glyph_region               [   0.18428] glyph 12x15 (12x16)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.18530] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.18533] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   0.18549] glyph 10x15 (12x16)
font     D                ttf.c:216  alloc_glyph_region               [   0.18554] glyph 4x15 (4x16)
font     D                ttf.c:216  alloc_glyph_region               [   0.18564] glyph 9x12 (12x12)
font     D                ttf.c:216  alloc_glyph_region               [   0.18571] glyph 7x12 (8x12)
font     D                ttf.c:216  alloc_glyph_region               [   0.18578] glyph 11x16 (12x16)
font     D                ttf.c:216  alloc_glyph_region               [   0.18584] glyph 6x16 (8x16)
font     D                ttf.c:216  alloc_glyph_region               [   0.18594] glyph 10x12 (12x12)
font     D                ttf.c:216  alloc_glyph_region               [   0.18598] glyph 4x15 (4x16)
